unidade;setor;ano;mes;exames_img;exame_img_por_paciente;exames_lab;exame_lab_por_paciente
CHPB;UIP-MASCULINA/CHPB/CHB;2025;8;2;0,15384615384615385;228;17,53846153846154
CHPB;UNIDADE DE CUIDADOS PROLONGADOS/CHPB/CHB;2025;8;23;1,2777777777777777;970;53,888888888888886
CHPB;CAC/CHPB/CHB;2025;9;0;;52;
CHPB;LAR INCLUSIVO A/CHPB/CHB;2025;9;13;13,0;106;106,0
CHPB;UIP-FEMININA/CHPB/CHB;2025;9;6;1,5;164;41,0
CHPB;UIP-MASCULINA/CHPB/CHB;2025;9;6;0,4;335;22,333333333333332
CHPB;UNIDADE DE CUIDADOS PROLONGADOS/CHPB/CHB;2025;9;20;1,5384615384615385;920;70,76923076923077
CHPB;CAC/CHPB/CHB;2025;10;1;;47;
CHPB;LAR INCLUSIVO A/CHPB/CHB;2025;10;0;;20;
CHPB;LAR INCLUSIVO B/CHPB/CHB;2025;10;0;;4;
CHPB;UIP-FEMININA/CHPB/CHB;2025;10;11;1,8333333333333333;327;54,5
CHPB;UIP-MASCULINA/CHPB/CHB;2025;10;9;0,6428571428571429;290;20,714285714285715
CHPB;UNIDADE DE CUIDADOS PROLONGADOS/CHPB/CHB;2025;10;16;0,8;1095;54,75
CHPB;CAC/CHPB/CHB;2025;11;2;;98;
CHPB;LAR INCLUSIVO A/CHPB/CHB;2025;11;0;;24;
CHPB;UIP-FEMININA/CHPB/CHB;2025;11;5;1,0;296;59,2
CHPB;UIP-MASCULINA/CHPB/CHB;2025;11;4;0,36363636363636365;298;27,09090909090909
CHPB;UNIDADE DE CUIDADOS PROLONGADOS/CHPB/CHB;2025;11;15;1,1538461538461537;760;58,46153846153846
CHPB;CAC/CHPB/CHB;2025;12;0;;54;
CHPB;LAR INCLUSIVO A/CHPB/CHB;2025;12;2;;28;
CHPB;UIP-FEMININA/CHPB/CHB;2025;12;6;0,6666666666666666;255;28,333333333333332
CHPB;UIP-MASCULINA/CHPB/CHB;2025;12;3;0,2727272727272727;224;20,363636363636363
CHPB;UNIDADE DE CUIDADOS PROLONGADOS/CHPB/CHB;2025;12;33;1,5;926;42,09090909090909
CSSFE;UNIDADE DE CUIDADOS CONTINUADOS INTEGRADOS;2023;11;9;;160;
CSSFE;UNIDADE DE INTERNAÇÃO - CLÍNICA MÉDICA;2023;11;0;;3;
CSSFE;UNIDADE INTERNAÇÃO - CLINICA MÉDICA;2023;11;26;;300;
CSSFE;AMBULATÓRIO HOSPITAL;2023;12;2;;0;
CSSFE;UNIDADE DE CUIDADOS PROLONGADOS;2023;12;6;;45;
CSSFE;UNIDADE DE INTERNAÇÃO - CLÍNICA MÉDICA;2023;12;15;;111;
CSSFE;UNIDADE INTERNAÇÃO - CLINICA MÉDICA;2023;12;1;;13;
CSSFE;UNIDADE DE CUIDADOS PROLONGADOS;2024;1;10;;106;
CSSFE;UNIDADE DE INTERNAÇÃO - CLÍNICA MÉDICA;2024;1;11;;151;
CSSFE;UNIDADE DE CUIDADOS PROLONGADOS;2024;2;9;;174;
CSSFE;UNIDADE DE INTERNAÇÃO - CLÍNICA MÉDICA;2024;2;15;;275;
CSSFE;UNIDADE DE CUIDADOS PROLONGADOS;2024;3;7;;268;
CSSFE;UNIDADE DE INTERNAÇÃO - CLÍNICA MÉDICA;2024;3;16;;536;
CSSFE;UNIDADE DE CUIDADOS PROLONGADOS;2024;4;25;;433;
CSSFE;UNIDADE DE INTERNAÇÃO - CLÍNICA MÉDICA;2024;4;16;;355;
CSSFE;UNIDADE DE CUIDADOS PROLONGADOS;2024;5;8;;679;
CSSFE;UNIDADE DE INTERNAÇÃO - CLÍNICA MÉDICA;2024;5;11;;442;
CSSFE;LAR INCLUSIVO;2024;6;3;;25;
CSSFE;UNIDADE DE CUIDADOS PROLONGADOS;2024;6;5;;430;
CSSFE;UNIDADE DE INTERNAÇÃO - CLÍNICA MÉDICA;2024;6;9;;503;
CSSFE;UNIDADE DE CUIDADOS PROLONGADOS;2024;7;9;;184;
CSSFE;UNIDADE DE INTERNAÇÃO - CLÍNICA MÉDICA;2024;7;16;;199;
CSSFE;UNIDADE DE CUIDADOS PROLONGADOS;2024;8;5;;113;
CSSFE;UNIDADE DE INTERNAÇÃO - CLÍNICA MÉDICA;2024;8;25;;246;
CSSFE;UNIDADE DE CUIDADOS PROLONGADOS;2024;9;7;;98;
CSSFE;UNIDADE DE INTERNAÇÃO - CLÍNICA MÉDICA;2024;9;12;;203;
CSSFE;UNIDADE DE CUIDADOS PROLONGADOS;2024;10;6;;143;
CSSFE;UNIDADE DE INTERNAÇÃO - CLÍNICA MÉDICA;2024;10;9;;190;
CSSFE;UNIDADE DE CUIDADOS PROLONGADOS;2024;11;5;;171;
CSSFE;UNIDADE DE INTERNAÇÃO - CLÍNICA MÉDICA;2024;11;16;;271;
CSSFE;UNIDADE DE CUIDADOS PROLONGADOS;2024;12;1;;133;
CSSFE;UNIDADE DE INTERNAÇÃO - CLÍNICA MÉDICA;2024;12;3;;117;
CSSFE;UNIDADE DE CUIDADOS PROLONGADOS;2025;1;4;;115;
CSSFE;UNIDADE DE INTERNAÇÃO - CLÍNICA MÉDICA;2025;1;3;;108;
CSSFE;UNIDADE DE CUIDADOS PROLONGADOS;2025;2;0;;23;
CSSFE;UNIDADE DE INTERNAÇÃO - CLÍNICA MÉDICA;2025;2;2;;29;
CSSI;LABORATORIO;2023;8;0;;1;
CSSI;UNIDADE DE CUIDADOS CONTINUADOS INTEGRADOS;2023;8;17;2,125;263;32,875
CSSI;UNIDADE INTERNAÇÃO - CLINICA MÉDICA ALA A;2023;8;10;1,25;243;30,375
CSSI;UNIDADE INTERNAÇÃO - CLINICA MÉDICA ALA B;2023;8;7;1,75;309;77,25
CSSI;UNIDADE URGENCIA/EMERGENCIA;2023;8;124;2,066666666666667;1183;19,716666666666665
CSSI;CLINICA MEDICA ALA A;2023;9;0;0,0;28;4,666666666666667
CSSI;CLÍNICA MÉDICA ALA C;2023;9;1;0,07692307692307693;24;1,8461538461538463
CSSI;LAR INCLUSIVO B / LAR FEMININO-MASCULINO;2023;9;0;;5;
CSSI;UNIDADE DE CUIDADOS CONTINUADOS INTEGRADOS;2023;9;18;9,0;238;119,0
CSSI;UNIDADE DE CUIDADOS PROLONGADOS - ALA B;2023;9;0;0,0;26;5,2
CSSI;UNIDADE INTERNAÇÃO - CLINICA MÉDICA ALA A;2023;9;8;1,1428571428571428;130;18,571428571428573
CSSI;UNIDADE INTERNAÇÃO - CLINICA MÉDICA ALA B;2023;9;11;11,0;110;110,0
CSSI;UNIDADE URGENCIA/EMERGENCIA;2023;9;82;3,727272727272727;737;33,5
CSSI;UNIDADE URGÊNCIA/EMERGÊNCIA;2023;9;2;;18;
CSSI;UNIDADES DE CUIDADOS PROLONGADOS - UCP;2023;9;1;0,1111111111111111;24;2,6666666666666665
CSSI;CLINICA MEDICA ALA A;2023;10;2;0,5;74;18,5
CSSI;CLÍNICA MÉDICA ALA C;2023;10;8;0,18181818181818182;273;6,204545454545454
CSSI;LABORATORIO;2023;10;0;;2;
CSSI;UNIDADE DE CUIDADOS PROLONGADOS - ALA B;2023;10;1;0,2;205;41,0
CSSI;UNIDADE URGÊNCIA/EMERGÊNCIA;2023;10;28;;540;
CSSI;UNIDADE URGÊNCIA/EMERGÊNCIA - OBSERVAÇÃO;2023;10;0;0,0;4;1,0
CSSI;UNIDADES DE CUIDADOS PROLONGADOS - UCP;2023;10;7;1,0;249;35,57142857142857
CSSI;CLINICA MEDICA ALA A;2023;11;4;1,3333333333333333;81;27,0
CSSI;CLÍNICA MÉDICA ALA C;2023;11;8;0,15384615384615385;325;6,25
CSSI;LAR INCLUSIVO B / LAR FEMININO-MASCULINO;2023;11;0;;4;
CSSI;UNIDADE DE CUIDADOS PROLONGADOS - ALA B;2023;11;5;1,6666666666666667;56;18,666666666666668
CSSI;UNIDADE URGÊNCIA/EMERGÊNCIA;2023;11;31;;428;
CSSI;UNIDADE URGÊNCIA/EMERGÊNCIA - OBSERVAÇÃO;2023;11;0;0,0;9;1,8
CSSI;UNIDADES DE CUIDADOS PROLONGADOS - UCP;2023;11;12;1,3333333333333333;178;19,77777777777778
CSSI;CLINICA MEDICA ALA A;2023;12;3;0,6;96;19,2
CSSI;CLÍNICA MÉDICA ALA C;2023;12;13;0,22413793103448276;269;4,637931034482759
CSSI;UNIDADE DE CUIDADOS PROLONGADOS - ALA B;2023;12;0;0,0;23;5,75
CSSI;UNIDADE URGÊNCIA/EMERGÊNCIA;2023;12;37;;444;
CSSI;UNIDADE URGÊNCIA/EMERGÊNCIA - OBSERVAÇÃO;2023;12;0;0,0;6;6,0
CSSI;UNIDADES DE CUIDADOS PROLONGADOS - UCP;2023;12;1;0,09090909090909091;151;13,727272727272727
CSSI;CLINICA MEDICA ALA A;2024;1;2;0,2222222222222222;124;13,777777777777779
CSSI;CLÍNICA MÉDICA ALA C;2024;1;11;0,21153846153846154;333;6,403846153846154
CSSI;UNIDADE DE CUIDADOS PROLONGADOS - ALA B;2024;1;2;0,5;26;6,5
CSSI;UNIDADE URGÊNCIA/EMERGÊNCIA;2024;1;35;;590;
CSSI;UNIDADE URGÊNCIA/EMERGÊNCIA - OBSERVAÇÃO;2024;1;1;0,0625;25;1,5625
CSSI;UNIDADES DE CUIDADOS PROLONGADOS - UCP;2024;1;4;1,3333333333333333;134;44,666666666666664
CSSI;CLINICA MEDICA ALA A;2024;2;8;1,6;162;32,4
CSSI;CLÍNICA MÉDICA ALA B;2024;2;0;;1;
CSSI;CLÍNICA MÉDICA ALA C;2024;2;8;0,11764705882352941;440;6,470588235294118
CSSI;UNIDADE DE CUIDADOS PROLONGADOS - ALA B;2024;2;0;0,0;45;22,5
CSSI;UNIDADE URGÊNCIA/EMERGÊNCIA;2024;2;41;;745;
CSSI;UNIDADE URGÊNCIA/EMERGÊNCIA - OBSERVAÇÃO;2024;2;2;0,18181818181818182;18;1,6363636363636365
CSSI;UNIDADES DE CUIDADOS PROLONGADOS - UCP;2024;2;6;0,5;299;24,916666666666668
CSSI;CLINICA MEDICA ALA A;2024;3;8;0,4444444444444444;199;11,055555555555555
CSSI;CLÍNICA MÉDICA ALA B;2024;3;0;;94;
CSSI;CLÍNICA MÉDICA ALA C;2024;3;18;0,35294117647058826;555;10,882352941176471
CSSI;UNIDADE DE CUIDADOS PROLONGADOS - ALA B;2024;3;1;0,5;157;78,5
CSSI;UNIDADE URGÊNCIA/EMERGÊNCIA;2024;3;41;;1372;
CSSI;UNIDADE URGÊNCIA/EMERGÊNCIA - OBSERVAÇÃO;2024;3;3;0,125;80;3,3333333333333335
CSSI;UNIDADES DE CUIDADOS PROLONGADOS - UCP;2024;3;3;0,23076923076923078;717;55,15384615384615
CSSI;CLINICA MEDICA ALA A;2024;4;3;1,0;205;68,33333333333333
CSSI;CLÍNICA MÉDICA ALA B;2024;4;0;;97;
CSSI;CLÍNICA MÉDICA ALA C;2024;4;9;0,140625;769;12,015625
CSSI;UNIDADE DE CUIDADOS PROLONGADOS - ALA B;2024;4;0;;19;
CSSI;UNIDADE URGÊNCIA/EMERGÊNCIA;2024;4;41;;1441;
CSSI;UNIDADE URGÊNCIA/EMERGÊNCIA - OBSERVAÇÃO;2024;4;3;0,2727272727272727;115;10,454545454545455
CSSI;UNIDADES DE CUIDADOS PROLONGADOS - UCP;2024;4;8;0,8888888888888888;766;85,11111111111111
CSSI;CLINICA MEDICA ALA A;2024;5;7;2,3333333333333335;166;55,333333333333336
CSSI;CLÍNICA MÉDICA ALA B;2024;5;0;;2;
CSSI;CLÍNICA MÉDICA ALA C;2024;5;19;0,24358974358974358;841;10,782051282051283
CSSI;UNIDADE DE CUIDADOS PROLONGADOS - ALA A;2024;5;0;0,0;48;48,0
CSSI;UNIDADE DE CUIDADOS PROLONGADOS - ALA B;2024;5;0;0,0;42;14,0
CSSI;UNIDADE URGÊNCIA/EMERGÊNCIA;2024;5;49;;1195;
CSSI;UNIDADE URGÊNCIA/EMERGÊNCIA - OBSERVAÇÃO;2024;5;0;0,0;69;7,666666666666667
CSSI;UNIDADES DE CUIDADOS PROLONGADOS - UCP;2024;5;3;0,2;968;64,53333333333333
CSSI;CLINICA MEDICA ALA A;2024;6;2;0,6666666666666666;4;1,3333333333333333
CSSI;CLÍNICA MÉDICA ALA B;2024;6;0;;12;
CSSI;CLÍNICA MÉDICA ALA C;2024;6;14;0,25925925925925924;729;13,5
CSSI;UNIDADE DE CUIDADOS PROLONGADOS - ALA A;2024;6;3;;192;
CSSI;UNIDADE DE CUIDADOS PROLONGADOS - ALA B;2024;6;9;3,0;111;37,0
CSSI;UNIDADE URGÊNCIA/EMERGÊNCIA;2024;6;45;;829;
CSSI;UNIDADE URGÊNCIA/EMERGÊNCIA - OBSERVAÇÃO;2024;6;0;0,0;17;0,9444444444444444
CSSI;UNIDADES DE CUIDADOS PROLONGADOS - UCP;2024;6;7;1,0;654;93,42857142857143
CSSI;CLÍNICA MÉDICA ALA B;2024;7;0;;7;
CSSI;CLÍNICA MÉDICA ALA C;2024;7;21;0,3559322033898305;531;9,0
CSSI;UNIDADE DE CUIDADOS PROLONGADOS - ALA A;2024;7;3;;66;
CSSI;UNIDADE DE CUIDADOS PROLONGADOS - ALA B;2024;7;6;6,0;70;70,0
CSSI;UNIDADE URGÊNCIA/EMERGÊNCIA;2024;7;30;;445;
CSSI;UNIDADE URGÊNCIA/EMERGÊNCIA - OBSERVAÇÃO;2024;7;0;0,0;1;0,125
CSSI;UNIDADES DE CUIDADOS PROLONGADOS - UCP;2024;7;5;0,45454545454545453;289;26,272727272727273
CSSI;CLÍNICA MÉDICA ALA C;2024;8;25;0,3472222222222222;584;8,11111111111111
CSSI;UNIDADE DE CUIDADOS PROLONGADOS - ALA A;2024;8;8;;80;
CSSI;UNIDADE DE CUIDADOS PROLONGADOS - ALA B;2024;8;3;1,5;76;38,0
CSSI;UNIDADE URGÊNCIA/EMERGÊNCIA;2024;8;46;;520;
CSSI;UNIDADE URGÊNCIA/EMERGÊNCIA - OBSERVAÇÃO;2024;8;0;0,0;5;0,7142857142857143
CSSI;UNIDADES DE CUIDADOS PROLONGADOS - UCP;2024;8;8;0,7272727272727273;144;13,090909090909092
CSSI;CLÍNICA MÉDICA ALA B;2024;9;0;;6;
CSSI;CLÍNICA MÉDICA ALA C;2024;9;14;0,28;633;12,66
CSSI;UNIDADE DE CUIDADOS PROLONGADOS - ALA A;2024;9;5;;49;
CSSI;UNIDADE DE CUIDADOS PROLONGADOS - ALA B;2024;9;5;0,7142857142857143;68;9,714285714285714
CSSI;UNIDADE URGÊNCIA/EMERGÊNCIA;2024;9;29;;463;
CSSI;UNIDADE URGÊNCIA/EMERGÊNCIA - OBSERVAÇÃO;2024;9;0;0,0;6;1,5
CSSI;UNIDADES DE CUIDADOS PROLONGADOS - UCP;2024;9;6;0,8571428571428571;108;15,428571428571429
CSSI;CLÍNICA MÉDICA ALA B;2024;10;0;;23;
CSSI;CLÍNICA MÉDICA ALA C;2024;10;28;0,49122807017543857;509;8,929824561403509
CSSI;UNIDADE DE CUIDADOS PROLONGADOS - ALA A;2024;10;5;5,0;101;101,0
CSSI;UNIDADE DE CUIDADOS PROLONGADOS - ALA B;2024;10;3;1,0;71;23,666666666666668
CSSI;UNIDADE URGÊNCIA/EMERGÊNCIA;2024;10;27;;568;
CSSI;UNIDADE URGÊNCIA/EMERGÊNCIA - OBSERVAÇÃO;2024;10;1;0,09090909090909091;0;0,0
CSSI;UNIDADES DE CUIDADOS PROLONGADOS - UCP;2024;10;11;2,75;214;53,5
CSSI;CLÍNICA MÉDICA ALA B;2024;11;0;;1;
CSSI;CLÍNICA MÉDICA ALA C;2024;11;18;0,2857142857142857;597;9,476190476190476
CSSI;UNIDADE DE CUIDADOS PROLONGADOS - ALA A;2024;11;1;;79;
CSSI;UNIDADE DE CUIDADOS PROLONGADOS - ALA B;2024;11;0;0,0;10;5,0
CSSI;UNIDADE URGÊNCIA/EMERGÊNCIA;2024;11;33;;524;
CSSI;UNIDADE URGÊNCIA/EMERGÊNCIA - OBSERVAÇÃO;2024;11;0;0,0;52;5,2
CSSI;UNIDADES DE CUIDADOS PROLONGADOS - UCP;2024;11;2;0,3333333333333333;285;47,5
CSSI;CLÍNICA MÉDICA ALA B;2024;12;1;;7;
CSSI;CLÍNICA MÉDICA ALA C;2024;12;24;0,3582089552238806;557;8,313432835820896
CSSI;UNIDADE DE CUIDADOS PROLONGADOS - ALA A;2024;12;1;;73;
CSSI;UNIDADE DE CUIDADOS PROLONGADOS - ALA B;2024;12;3;1,0;65;21,666666666666668
CSSI;UNIDADE URGÊNCIA/EMERGÊNCIA;2024;12;43;;588;
CSSI;UNIDADE URGÊNCIA/EMERGÊNCIA - OBSERVAÇÃO;2024;12;0;0,0;8;1,1428571428571428
CSSI;UNIDADES DE CUIDADOS PROLONGADOS - UCP;2024;12;9;1,0;199;22,11111111111111
CSSI;AMBULATÓRIO UCA;2025;1;0;;16;
CSSI;CLÍNICA MÉDICA ALA B;2025;1;0;;14;
CSSI;CLÍNICA MÉDICA ALA C;2025;1;9;0,1875;777;16,1875
CSSI;UNIDADE DE CUIDADOS PROLONGADOS - ALA A;2025;1;2;;67;
CSSI;UNIDADE DE CUIDADOS PROLONGADOS - ALA B;2025;1;0;0,0;50;50,0
CSSI;UNIDADE URGÊNCIA/EMERGÊNCIA;2025;1;26;;554;
CSSI;UNIDADE URGÊNCIA/EMERGÊNCIA - OBSERVAÇÃO;2025;1;2;0,16666666666666666;55;4,583333333333333
CSSI;UNIDADES DE CUIDADOS PROLONGADOS - UCP;2025;1;11;1,2222222222222223;314;34,888888888888886
CSSI;CLÍNICA MÉDICA ALA B;2025;2;1;;1;
CSSI;CLÍNICA MÉDICA ALA C;2025;2;23;0,5609756097560976;696;16,975609756097562
CSSI;UNIDADE DE CUIDADOS PROLONGADOS - ALA A;2025;2;4;;57;
CSSI;UNIDADE DE CUIDADOS PROLONGADOS - ALA B;2025;2;3;;79;
CSSI;UNIDADE URGÊNCIA/EMERGÊNCIA;2025;2;55;;911;
CSSI;UNIDADE URGÊNCIA/EMERGÊNCIA - OBSERVAÇÃO;2025;2;1;0,041666666666666664;74;3,0833333333333335
CSSI;UNIDADES DE CUIDADOS PROLONGADOS - UCP;2025;2;4;1,3333333333333333;250;83,33333333333333
CSSI;CLÍNICA MÉDICA ALA C;2025;3;20;0,4;716;14,32
CSSI;UNIDADE DE CUIDADOS PROLONGADOS - ALA A;2025;3;3;;119;
CSSI;UNIDADE DE CUIDADOS PROLONGADOS - ALA B;2025;3;0;;29;
CSSI;UNIDADE URGÊNCIA/EMERGÊNCIA;2025;3;35;;783;
CSSI;UNIDADE URGÊNCIA/EMERGÊNCIA - OBSERVAÇÃO;2025;3;2;0,09523809523809523;102;4,857142857142857
CSSI;UNIDADES DE CUIDADOS PROLONGADOS - UCP;2025;3;3;0,42857142857142855;255;36,42857142857143
CSSI;CLÍNICA MÉDICA ALA C;2025;4;14;0,2641509433962264;624;11,773584905660377
CSSI;UNIDADE DE CUIDADOS PROLONGADOS - ALA A;2025;4;3;3,0;137;137,0
CSSI;UNIDADE DE CUIDADOS PROLONGADOS - ALA B;2025;4;1;0,3333333333333333;44;14,666666666666666
CSSI;UNIDADE URGÊNCIA/EMERGÊNCIA;2025;4;13;;461;
CSSI;UNIDADE URGÊNCIA/EMERGÊNCIA - OBSERVAÇÃO;2025;4;0;0,0;26;3,7142857142857144
CSSI;UNIDADES DE CUIDADOS PROLONGADOS - UCP;2025;4;6;1,0;684;114,0
CSSI;CLÍNICA MÉDICA ALA C;2025;5;11;0,22;443;8,86
CSSI;UNIDADE DE CUIDADOS PROLONGADOS - ALA B;2025;5;1;0,3333333333333333;85;28,333333333333332
CSSI;UNIDADE URGÊNCIA/EMERGÊNCIA;2025;5;16;;418;
CSSI;UNIDADE URGÊNCIA/EMERGÊNCIA - OBSERVAÇÃO;2025;5;0;0,0;17;8,5
CSSI;UNIDADES DE CUIDADOS PROLONGADOS - UCP;2025;5;8;0,6153846153846154;461;35,46153846153846
CSSI;CLINICA MEDICA ALA A;2025;6;0;;36;
CSSI;CLÍNICA MÉDICA ALA B;2025;6;0;;1;
CSSI;CLÍNICA MÉDICA ALA C;2025;6;2;0,0392156862745098;556;10,901960784313726
CSSI;UNIDADE DE CUIDADOS PROLONGADOS - ALA A;2025;6;3;;65;
CSSI;UNIDADE DE CUIDADOS PROLONGADOS - ALA B;2025;6;1;0,5;36;18,0
CSSI;UNIDADE URGÊNCIA/EMERGÊNCIA;2025;6;5;;417;
CSSI;UNIDADE URGÊNCIA/EMERGÊNCIA - OBSERVAÇÃO;2025;6;0;0,0;31;5,166666666666667
CSSI;UNIDADES DE CUIDADOS PROLONGADOS - UCP;2025;6;0;0,0;239;34,142857142857146
CSSI;CLINICA MEDICA ALA A;2025;7;0;0,0;70;14,0
